Depth (m),351.0,361.0,385.0,413.0,425.0,442.0,460.0,475.0,490.0,510.0,532.0,555.0,583.0,618.0,640.0,655.0,665.0,678.0,711.0
0.000000000000000000e+00,4.334799999999999764e-01,4.343899999999999983e-01,4.779300000000000215e-01,9.453284619999999805e-01,9.320332690000000531e-01,1.057572114999999924e+00,1.174086345999999947e+00,1.185931153999999932e+00,1.172716537999999975e+00,1.168043077000000096e+00,1.144434037999999987e+00,1.138713077000000018e+00,1.124289807999999891e+00,1.058055576999999969e+00,1.009064807999999980e+00,8.919059620000000521e-01,9.758671150000000072e-01,9.555617309999999698e-01,8.674911539999999865e-01
2.000000000000000000e+00,1.517991926315411834e-02,4.407861868443190001e-02,2.917590477754236078e-01,6.643841126194505176e-01,6.795946359613177501e-01,8.022683551557002746e-01,9.284583659327082517e-01,9.657833536256951179e-01,9.753283609106850882e-01,9.737757351805721440e-01,9.542002096883772655e-01,9.336130105224229592e-01,8.517617428256201162e-01,5.442736256888841551e-01,4.749888091220096920e-01,3.690250929543719138e-01,3.513021032298750956e-01,3.157615700160780192e-01,1.272453665078304985e-01
4.000000000000000000e+00,5.315815004980103779e-04,4.472765545080569297e-03,1.781083881715353756e-01,4.669342634276197335e-01,4.955283084722117426e-01,6.085963354699769345e-01,7.342176665347531772e-01,7.865022206343813549e-01,8.111639776301369231e-01,8.118186744121799192e-01,7.955880460882823746e-01,7.654546795169032691e-01,6.452945329389109252e-01,2.799794132369320954e-01,2.235875902146662875e-01,1.526837189479207102e-01,1.264651363251786675e-01,1.043421537975117441e-01,1.866460911221246716e-02
6.000000000000000000e+00,1.861530926304816793e-05,4.538624897591372431e-04,1.087287546999407412e-01,3.281649910367089307e-01,3.613158366825425794e-01,4.616778128754701060e-01,5.806136296808472874e-01,6.405015583883794106e-01,6.746312575083622809e-01,6.767980925321968044e-01,6.633412282368741364e-01,6.275842986233242105e-01,4.888750143431802031e-01,1.440240131740370688e-01,1.052475543379808864e-01,6.317271772803290109e-02,4.552614561285645706e-02,3.447944934701595993e-02,2.737762818972640060e-03
8.000000000000000000e+00,6.518844967973521771e-07,4.605453997849831972e-05,6.637498783726136775e-02,2.306368792720151772e-01,2.634544416647121023e-01,3.502262344988971710e-01,4.591447500333489806e-01,5.216034176827207824e-01,5.610793207767871271e-01,5.642339508719581564e-01,5.530771700785178657e-01,5.145465334761629705e-01,3.703716170669468788e-01,7.408729138667616287e-02,4.954231888939441414e-02,2.613764121443067079e-02,1.638894318694817873e-02,1.139359677758337852e-02,4.015806175144983714e-04
1.000000000000000000e+01,2.282816745936526836e-08,4.673267124931862841e-06,4.051953894399744349e-02,1.620933723377696589e-01,1.920985348169178542e-01,2.656796837762736008e-01,3.630881031832942640e-01,4.247766797365392089e-01,4.666401099854740053e-01,4.703913247235315120e-01,4.611417819982526756e-01,4.218686409030825146e-01,2.805934660274763126e-01,3.811119148847421506e-02,2.332064983720678539e-02,1.081441978158152566e-02,5.899850628012838667e-03,3.764968698416674801e-03,5.890466158929066594e-05
1.200000000000000000e+01,7.994134422785985066e-10,4.742078768166001458e-07,2.473571882618769840e-02,1.139204685684405832e-01,1.400691779786734092e-01,2.015431381731142280e-01,2.871272527098854832e-01,3.459241667732954606e-01,3.880966276671662385e-01,3.921564769954285490e-01,3.844883763224846152e-01,3.458834888558408593e-01,2.125775560255231678e-01,1.960475122636700859e-02,1.097753841607192367e-02,4.474454073831744642e-03,2.123885416881794979e-03,1.244118918439021454e-03,8.640255544264623027e-06
1.400000000000000000e+01,2.799444383055560086e-11,4.811903630229280464e-08,1.510026524965819503e-02,8.006418135227519328e-02,1.021318285343498639e-01,1.528895095301017748e-01,2.270580019723421883e-01,2.817092718743836599e-01,3.227733518477776675e-01,3.269335431299735806e-01,3.205767017824914800e-01,2.835844532245593297e-01,1.610487156581166257e-01,1.008486629876094963e-02,5.167366712229166763e-03,1.851300362218934919e-03,7.645768593911832093e-04,4.111141438888476899e-04,1.267370253151038591e-06
1.600000000000000000e+01,9.803298818047823792e-13,4.882756630288682189e-09,9.218167954295804906e-03,5.626972234369699566e-02,7.446970525776930305e-02,1.159811360299307231e-01,1.795557049116611459e-01,2.294147720300928894e-01,2.684450964938475126e-01,2.725583992452183524e-01,2.672887609989644253e-01,2.325064500092116349e-01,1.220104760825023588e-01,5.187748984394096458e-03,2.432392192730644179e-03,7.659734516432180297e-04,2.752397889593964967e-04,1.358510322449888352e-04,1.859004459235394147e-07
1.800000000000000000e+01,3.432990785515829810e-14,4.954652907188849420e-10,5.627359455525428322e-03,3.954679357433753956e-02,5.429979156119624922e-02,8.798264809754562099e-02,1.419912572394198269e-01,1.868278501287246041e-01,2.232612122997578441e-01,2.272268556107818749e-01,2.228586212258031329e-01,1.906283954610115405e-01,9.243511327020394186e-02,2.668626308748242148e-03,1.144980046656034591e-03,3.169206578229147872e-04,9.908348715489090320e-05,4.489143279638363915e-05,2.726825543573197080e-08
2.000000000000000000e+01,1.202189788578073638e-15,5.027607822686738624e-11,3.435300224372031877e-03,2.779379063679438336e-02,3.959284320225976705e-02,6.674315006070365153e-02,1.122855836986648426e-01,1.521464606435310729e-01,1.856825457741223540e-01,1.894347928874876852e-01,1.858138923202177495e-01,1.562932346805867012e-01,7.002882407817088983e-02,1.372766183785399966e-03,5.389670757694413989e-04,1.311255672627310127e-04,3.566903413162301773e-05,1.483419525939277347e-05,3.999763157180108064e-09
