Depth (m),351.0,361.0,385.0,413.0,425.0,442.0,460.0,475.0,490.0,510.0,532.0,555.0,583.0,618.0,640.0,655.0,665.0,678.0,711.0
0.000000000000000000e+00,4.334799999999999764e-01,4.343899999999999983e-01,4.779300000000000215e-01,9.453284619999999805e-01,9.320332690000000531e-01,1.057572114999999924e+00,1.174086345999999947e+00,1.185931153999999932e+00,1.172716537999999975e+00,1.168043077000000096e+00,1.144434037999999987e+00,1.138713077000000018e+00,1.124289807999999891e+00,1.058055576999999969e+00,1.009064807999999980e+00,8.919059620000000521e-01,9.758671150000000072e-01,9.555617309999999698e-01,8.674911539999999865e-01
2.000000000000000000e+00,2.720641038692286906e-01,2.881677496708481279e-01,4.011214674355354504e-01,8.358193017499597754e-01,8.340793395211958394e-01,9.548508084334815793e-01,1.068169311007373556e+00,1.086342161531003825e+00,1.075303435849657596e+00,1.044482732635965361e+00,1.002016248642217722e+00,9.671697554290186183e-01,8.747995923836946464e-01,5.528573748460491322e-01,4.815775646753360784e-01,3.736414632123053470e-01,3.576197823680501986e-01,3.221558087390645198e-01,1.233800531295362463e-01
4.000000000000000000e+00,1.707549981871515909e-01,1.911661224944418147e-01,3.366568987877666674e-01,7.389959503597283152e-01,7.464200772173448239e-01,8.621067570092594279e-01,9.718072958306656073e-01,9.951161902943428395e-01,9.859820695647757427e-01,9.339931037275378545e-01,8.773214787439088669e-01,8.214688622712879029e-01,6.806735428795049891e-01,2.888801718604474544e-01,2.298335537618189650e-01,1.565276486305542669e-01,1.310546351804995346e-01,1.086108429600983333e-01,1.754788788341602596e-02
6.000000000000000000e+00,1.071705858701189756e-01,1.268167115553419655e-01,2.825524852259650443e-01,6.533888527157410975e-01,6.679735431319704375e-01,7.783708762841752282e-01,8.841383201124297653e-01,9.115509525933697121e-01,9.040802894255419719e-01,8.351915168660216660e-01,7.681442073503015333e-01,6.977173220040887580e-01,5.296258434616675226e-01,1.509462611715362834e-01,1.096883790057761182e-01,6.557330274635152223e-02,4.802675424878360272e-02,3.661680121390505083e-02,2.495771085830593861e-03
8.000000000000000000e+00,6.726324030149982702e-02,8.412828653873233309e-02,2.371432375063221576e-01,5.776986905616705581e-01,5.977715068807772925e-01,7.027682083703788996e-01,8.043781647297266746e-01,8.350031355917367781e-01,8.289817786327134952e-01,7.468415634559676386e-01,6.725533770478425710e-01,5.926085379287202581e-01,4.120970133139704727e-01,7.887275064580248629e-02,5.234892944040411139e-02,2.747027806706180478e-02,1.760005756756525402e-02,1.234490125107693369e-02,3.549642757151838502e-04
1.000000000000000000e+01,4.221628032658517049e-02,5.580943165250304427e-02,1.990317482077911815e-01,5.107766618446759610e-01,5.349474962183016213e-01,6.345087794829062933e-01,7.318133567739555367e-01,7.648834488784271857e-01,7.601214154792769184e-01,6.678376272287137594e-01,5.888582386616627584e-01,5.033340410945932319e-01,3.206489080523616808e-01,4.121275178432842745e-02,2.498359843035058772e-02,1.150797878826811775e-02,6.449780569742675357e-03,4.161930639669557223e-03,5.048525393588824912e-05
1.200000000000000000e+01,2.649611164469997671e-02,3.702313204657290552e-02,1.670451884321327296e-01,4.516070445503971298e-01,4.787261025596269426e-01,5.728793454878440272e-01,6.657947873718219611e-01,7.006520879152818848e-01,6.969810207688668102e-01,5.971910484984330747e-01,5.155784463707319132e-01,4.275084490178005514e-01,2.494939757227460642e-01,2.153457177199458519e-02,1.192345664374293117e-02,4.820976892477226924e-03,2.363609848327612173e-03,1.403143394760582438e-03,7.180330639853442833e-06
1.400000000000000000e+01,1.662969657339285340e-02,2.456058529806757693e-02,1.401992156004908952e-01,3.992917803859331038e-01,4.284134104600185178e-01,5.172359392001477651e-01,6.057319052573837403e-01,6.418145784431414924e-01,6.390854584799623428e-01,5.340177520194152594e-01,4.514178743023226636e-01,3.631057291180868618e-01,1.941289752085395559e-01,1.125228870496162992e-02,5.690486049539918850e-03,2.019626437050214222e-03,8.661769892326996300e-04,4.730524260770881725e-04,1.021231826685295076e-06
1.600000000000000000e+01,1.043726007164646682e-02,1.629312045844298965e-02,1.176676816583598351e-01,3.530368443266747036e-01,3.833884329278328118e-01,4.669971415576821827e-01,5.510874341553438915e-01,5.879179698554680700e-01,5.859990603330753611e-01,4.775271836188915708e-01,3.952416914905301226e-01,3.084050638561477986e-01,1.510499758815698201e-01,5.879569022332119081e-03,2.715792277988559114e-03,8.460714573423793513e-04,3.174223432886259170e-04,1.594837695512953590e-04,1.452460194585512570e-07
1.800000000000000000e+01,6.550714700199728076e-03,1.080860944686934215e-02,9.875720950042628232e-02,3.121401931481573855e-01,3.430954468606131624e-01,4.216380063618431762e-01,5.013725667213704273e-01,5.385473482347767904e-01,5.373223473555438501e-01,4.270124171578102423e-01,3.460562897154459971e-01,2.619448711071764579e-01,1.175306014432572349e-01,3.072204490551716689e-03,1.296115592406839540e-03,3.544402557806583466e-04,1.163237366858446822e-04,5.376797865982365379e-05,2.065780326982989469e-08
2.000000000000000000e+01,4.111410733166057617e-03,7.170267873052806398e-03,8.288585523957398005e-02,2.759811100294475850e-01,3.070371340040972119e-01,3.806845751042589043e-01,4.561425920481361751e-01,4.933226422080801976e-01,4.926890237734666278e-01,3.818413080175110386e-01,3.029917091995089073e-01,2.224837512115561966e-01,9.144948349044530744e-02,1.605294605083553089e-03,6.185729455436684947e-04,1.484837880153434158e-04,4.262841606034664931e-05,1.812720841310068234e-05,2.938082830261482797e-09
