Depth (m),351.0,361.0,385.0,413.0,425.0,442.0,460.0,475.0,490.0,510.0,532.0,555.0,583.0,618.0,640.0,655.0,665.0,678.0,711.0
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.835503287045509913e-01,8.159191615556518062e-01,9.022063696867868021e-01,9.311415284115167612e-01,9.367601607789945994e-01,9.386505745816235979e-01,9.398377636005563751e-01,9.421111706125816498e-01,9.398678496230470358e-01,9.138873106203339036e-01,8.928863380296159225e-01,8.657215176714357918e-01,7.957040109219107871e-01,5.443428168508489540e-01,4.991582860791888288e-01,4.408476032641970854e-01,3.883034987390457937e-01,3.586730983242468196e-01,1.569983564305841850e-01
6.139511176130100223e-01,6.657240781936777374e-01,8.139763335034110314e-01,8.670245459325355286e-01,8.775195988226878185e-01,8.810649011624120952e-01,8.832950218896952199e-01,8.875734577930090019e-01,8.833515747550506614e-01,8.351900165128666176e-01,7.972460126399374403e-01,7.494737461593340422e-01,6.331448729972162237e-01,2.963091022571168742e-01,2.491589945615133306e-01,1.943466093037868880e-01,1.507796071329841336e-01,1.286463914615148252e-01,2.464848392190475274e-02
4.810616000142004522e-01,5.431770317071947796e-01,7.343746328610737395e-01,8.073225608699224898e-01,8.220254004798598357e-01,8.270120757197995109e-01,8.301540179723155832e-01,8.361928693260285428e-01,8.302337450261617624e-01,7.632695580478959796e-01,7.118500727347866208e-01,6.488355489799551012e-01,5.037959149385287105e-01,1.612937313811852458e-01,1.243697766865389381e-01,8.567723691409775966e-02,5.854824898823651758e-02,4.614199981373545006e-02,3.869771464244725276e-03
3.769359748182640191e-01,4.431885482868220261e-01,6.625574715036561813e-01,7.517315632495193967e-01,7.700406463179308991e-01,7.762753600603309323e-01,7.802100956951171229e-01,7.877866429786383184e-01,7.803100046222277708e-01,6.975423636827625673e-01,6.356012046702793628e-01,5.617108961821059010e-01,4.008724302026611119e-01,8.779908408041854628e-02,6.208020457090423355e-02,3.777060454787878330e-02,2.273448992717703662e-02,1.654989403606931322e-02,6.075477596483969773e-04
2.953483069694211594e-01,3.616060287292502951e-01,5.977635710741704411e-01,6.999684767593362666e-01,7.213433996511459112e-01,7.286513127541863755e-01,7.332709114766750025e-01,7.421825964095609685e-01,7.333882860836431483e-01,6.374751147897906867e-01,5.675196320852581300e-01,4.862852095353550341e-01,3.189758005802711405e-01,4.779280074525956573e-02,3.098784851305797991e-02,1.665108048877214295e-02,8.827881980770436315e-03,5.936001770854954299e-03,9.538399971788192808e-05
2.314202630082225765e-01,2.950412877742388251e-01,5.393061013898368117e-01,6.517697172895696722e-01,6.757257590340739473e-01,6.839489733863713949e-01,6.891556935555797070e-01,6.992185147116967148e-01,6.892880713801657899e-01,5.825804182426305156e-01,5.067305260525211130e-01,4.209875696201196837e-01,2.538103239087493024e-01,2.601566778286594495e-02,1.546784135305956202e-02,7.340588925234435395e-03,3.427897459588538295e-03,2.129084146810762170e-03,1.497513118548276636e-05
1.813294231489864516e-01,2.407298401450567171e-01,4.865653998848588624e-01,6.068898507293520872e-01,6.329929706752672747e-01,6.419890968536290377e-01,6.476945458038664283e-01,6.587415734090272812e-01,6.478396974188938007e-01,5.324128516478269235e-01,4.524527637748563813e-01,3.644579976923392195e-01,2.019578927475811636e-01,1.416144188318112750e-02,7.720901179138013083e-03,3.236081034237308762e-03,1.331064576876916320e-03,7.636452075296517455e-04,2.351070983453180111e-06
1.420807291121949645e-01,1.964160893325807566e-01,4.389824030453182147e-01,5.651003431855661230e-01,5.929625969817368114e-01,6.026034346367964423e-01,6.087277934245839406e-01,6.206077948555526191e-01,6.088837033135411358e-01,4.865653491321353386e-01,4.039888913783103996e-01,3.155191308897045688e-01,1.606987052965873908e-01,7.708679165360406323e-03,3.853951799565318893e-03,1.426618567912241696e-03,5.168570322489141663e-04,2.738989926051226204e-04,3.691142802537863860e-07
1.113274019984426405e-01,1.602596509242792955e-01,3.960527202078984454e-01,5.261883972596806958e-01,5.554637376845419361e-01,5.656340601666888235e-01,5.721053680136624076e-01,5.846815361026576063e-01,5.722702169038152986e-01,4.446658983594109493e-01,3.607161618274238313e-01,2.731517008482073905e-01,1.278686043544526862e-01,4.196164131071734686e-03,1.923731974902830044e-03,6.289213764363128442e-04,2.006973939701331617e-04,9.824020030556929910e-05,5.795033533490249762e-08
8.723062242970341940e-02,1.307589200133393859e-01,3.573212869033447481e-01,4.899558684567854594e-01,5.203363002202727738e-01,5.309327355783991509e-01,5.376862296178337441e-01,5.508350064132372381e-01,5.378583781647036099e-01,4.063745219762568417e-01,3.220785328021867899e-01,2.364733050128441372e-01,1.017455613558249095e-01,2.284151803076082954e-03,9.602467554682297436e-04,2.772584814435683962e-04,7.793150026641138179e-05,3.523611702359316032e-05,9.098107402180899038e-09
