Depth (m),351.0,361.0,385.0,413.0,425.0,442.0,460.0,475.0,490.0,510.0,532.0,555.0,583.0,618.0,640.0,655.0,665.0,678.0,711.0
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.311153175297750106e-01,6.800651871036845764e-01,7.936601252732842227e-01,8.505546057748022415e-01,8.657434483842111339e-01,8.792669904364318612e-01,8.927934803090555871e-01,9.034209508903215946e-01,9.087365932444231298e-01,8.939548596014366133e-01,8.807336690274413238e-01,8.577865479919092317e-01,7.897016973477190005e-01,5.384826415937320476e-01,4.931870912094337145e-01,4.345837370065568361e-01,3.811736897136837054e-01,3.513051639026488759e-01,1.535442039340461085e-01
3.983065440207088082e-01,4.624886587103695934e-01,6.298963944488051858e-01,7.234431374047293195e-01,7.495117184201852689e-01,7.731104404711404143e-01,7.970801984823560060e-01,8.161694145075728546e-01,8.258021959014800739e-01,7.991552910050241376e-01,7.756917957585386381e-01,7.357977619158759808e-01,6.236287707938683589e-01,2.899635552977636310e-01,2.432335069356222623e-01,1.888630244705841732e-01,1.452933817299436325e-01,1.234153181846670000e-01,2.357582256173994251e-02
2.513773610038169681e-01,3.145224362191996192e-01,4.999236513274288307e-01,6.153278925357656970e-01,6.488848597094670767e-01,6.797704902680438144e-01,7.116280044884955025e-01,7.373445485420285772e-01,7.504366741972746668e-01,7.144087559701415291e-01,6.831778813129023575e-01,6.311574222139918477e-01,4.924806988107894856e-01,1.561403412226499421e-01,1.199596257702491564e-01,8.207679895678726689e-02,5.538201440498134037e-02,4.335643858296200914e-02,3.619930907332682881e-03
1.586481030097208478e-01,2.138957594357167036e-01,3.967694677396048641e-01,5.233699730579980391e-01,5.617678160491791362e-01,5.976997531654807405e-01,6.353368428126721090e-01,6.661325131776343333e-01,6.819492667557064403e-01,6.386491791413249075e-01,6.016977620071063404e-01,5.413983464404120705e-01,3.889128437618712408e-01,8.407886340091923205e-02,5.916253889620140538e-02,3.566924201217647888e-02,2.111016677452311890e-02,1.523134076262259821e-02,5.558194094626460122e-04
1.001252479064764361e-01,1.454630596613354088e-01,3.149001054708290837e-01,4.451547411087144468e-01,4.863468062576835615e-01,5.255376631504103946e-01,5.672245910632929267e-01,6.017980684738981623e-01,6.197122534371130032e-01,5.709235372738558079e-01,5.299354775781189852e-01,4.644042186816487727e-01,3.071251328390779967e-01,4.527500846632553921e-02,2.917820046678255147e-02,1.550127248984293181e-02,8.046640159916190402e-03,5.350848663070228994e-03,8.534284875703360628e-05
6.319057762524332711e-02,9.892436288526049171e-02,2.499236571565486287e-01,3.786284153325067958e-01,4.210515611601748365e-01,4.620879194392567002e-01,5.064144167722781642e-01,5.436769832646479728e-01,5.631552019802665843e-01,5.103798706068052304e-01,4.667320175151861150e-01,3.983596916158111956e-01,2.425372387011635600e-01,2.437980615712555602e-02,1.439031181493822739e-02,6.736600926992875396e-03,3.067167519553560748e-03,1.879780766598156648e-03,1.310389977386242178e-05
3.988054146284534390e-02,6.727501535467747540e-02,1.983544410476237307e-01,3.220441425382783995e-01,3.645226305063653527e-01,4.062986542423875913e-01,4.521234896288028327e-01,4.911691771981297472e-01,5.117597397154224348e-01,4.562565655717059632e-01,4.110666022387298724e-01,3.417075847302482039e-01,1.915320690723377461e-01,1.312810242103210241e-02,7.097116025606130599e-03,2.927617205574398630e-03,1.169123560398197892e-03,6.603766903108123721e-04,2.012027859209232292e-06
2.516922058858299741e-02,4.575139590458199290e-02,1.574260105303693369e-01,2.739161286987296107e-01,3.155830791486644027e-01,3.572449949340765762e-01,4.036529038351740484e-01,4.437325251123512282e-01,4.650548024286456084e-01,4.078727740178880734e-01,3.620401968043603924e-01,2.931121695284124029e-01,1.512532000429456791e-01,7.069255270790435197e-03,3.500206008644544346e-03,1.272294825723215483e-03,4.456391412481798260e-04,2.319937414271287573e-04,3.089352159354046017e-07
1.588468064374051053e-02,3.111393161610430391e-02,1.249427472388062871e-01,2.329806248607079744e-01,2.732139831938721897e-01,3.141137315441638878e-01,3.603786808518615881e-01,4.008772597779638458e-01,4.226123168309656730e-01,3.646198484324095768e-01,3.188609908669212678e-01,2.514276760741961381e-01,1.194449088031882961e-01,3.806671252315646427e-03,1.726256420037184736e-03,5.529186399369010038e-04,1.698659157504061701e-04,8.150059935644621701e-05,4.743521179799433742e-08
1.002506526833336388e-02,2.115950172603722063e-02,9.916207642553928614e-02,1.981627435315665708e-01,2.365332159570488202e-01,2.761898353895942404e-01,3.217437367069199139e-01,3.621609152189145808e-01,3.840432770601045487e-01,3.259536854132917827e-01,2.808316103959490606e-01,2.156712783293126545e-01,9.432584722142130229e-02,2.049826391625849190e-03,8.513673824797494873e-04,2.402894488043612721e-04,6.474841786317606519e-05,2.863158141508045929e-05,7.283401833965912462e-09
